date,BlackBerry,BlackBerry 4.2,BlackBerry 4.3,BlackBerry 4.5,BlackBerry 4.6,BlackBerry 4.7,BlackBerry 5.0,BlackBerry 534.1,BlackBerry 534.11,BlackBerry 534.8,BlackBerry 6.5,BlackBerry 7.0,BlackBerry 7.1,BlackBerry 8.0,Danger,DoCoMo,FreeBSD,Java ME,Linux,Linux Android,Linux Android 0.5,Linux Android 1.1,Linux Android 1.5,Linux Android 1.6,Linux Android 2.0,Linux Android 2.1,Linux Android 2.2,Linux Android 2.3,Linux Android 3.1,Linux Android 3.2,Linux Android 4.0,Linux Android 4.1,Linux Android 4.2,Linux Android 4.3,Linux Android 4.4,Linux Android 5.0,Linux Android 5.1,Linux Arch,Linux CentOS,Linux CentOS 3.0,Linux Debian,Linux Debian 2.0,Linux Debian 3.0,Linux Debian 3.5,Linux Epiphany,Linux Fedora,Linux Fedora 2.0,Linux Fedora 3.0,Linux Fedora 3.5,Linux Fedora 3.6,Linux Gentoo,Linux Kubuntu,Linux Mandriva,Linux Mandriva 1.9,Linux Mint,Linux Mips,Linux Motor,Linux Oracle,Linux Other,Linux PCLinuxOS,Linux Red Hat,Linux SUSE,Linux SUSE 2.0,Linux SUSE 3.0,Linux SUSE 3.5,Linux SUSE 3.6,Linux Slackware,Linux Ubuntu,Linux Ubuntu 10.04,Linux Ubuntu 10.10,Linux Ubuntu 11.04,Linux Ubuntu 6,Linux Ubuntu 7.10,Linux Ubuntu 8.04,Linux Ubuntu 8.10,Linux Ubuntu 9.04,Linux Ubuntu 9.10,Linux Xubuntu,Linux armv7 Android,Linux i686 Other,Linux i686 Ubuntu,Linux i686 Ubuntu 10.04,Linux i686 Ubuntu 10.10,Linux i686 Ubuntu 11.04,Linux i686 Ubuntu 11.10,Linux i686 Ubuntu 12.04,Linux i686 Ubuntu 8.04,Linux i686 Ubuntu 9.04,Linux i686 Ubuntu 9.10,Linux openSUSE,Linux x86.64 Fedora,Linux x86.64 Other,Linux x86.64 Ubuntu,Linux x86.64 Ubuntu 10.04,Linux x86.64 Ubuntu 10.10,Linux x86.64 Ubuntu 11.04,Linux x86.64 Ubuntu 11.10,Linux x86.64 Ubuntu 12.04,Linux x86.64 Ubuntu 12.10,Mac,Mac Intel,Mac Intel OS X,Mac Intel OS X 10.10,Mac Intel OS X 10.4,Mac Intel OS X 10.5,Mac Intel OS X 10.6,Mac Intel OS X 10.6.7,Mac Intel OS X 10.6.8,Mac Intel OS X 10.7,Mac Intel OS X 10.8,Mac Intel OS X 10.9,Mac PowerPC,Mac PowerPC OS X,Mac PowerPC OS X 10.4,Mac PowerPC OS X 10.5,Mac PowerPC OS X Mach-O,Mobile other,Nokia,OpenBSD,Other,PlayStation,Samsung,SonyEricsson,SunOS,SymbianOS,SymbianOS 9.2,SymbianOS 9.3,SymbianOS 9.4,Wii,WikipediaApp/4.0.1 (iPhone OS 7.1.2_ Phone) en-us https=1,WikipediaApp/4.0.1 (iPhone OS 7.1.2_ Phone) en-us https=1_php=zend,WikipediaApp/4.0.3 (iPhone OS 8.0.2_ Phone) en-us https=1_php=zend,WikipediaApp/4.0.6 (iPhone OS 8.1.2_ Phone) en_q=1 -,WikipediaApp/4.0.6 (iPhone OS 8.1.2_ Phone) en_q=1 - (null),WikipediaApp/4.0.6 (iPhone OS 8.1.3_ Phone) en_q=1 - (null),WikipediaApp/4.0.6 (iPhone OS 8.1.3_ Phone) en_q=1 https=1 (null),WikipediaApp/4.0.6 (iPhone OS 8.2_ Phone) en_q=1 - (null),WikipediaApp/4.1.2 (iPhone OS 8.3_ Phone) en_q=1 - (null),WikipediaApp/4.1.3 (iPhone OS 8.3_ Phone) en_q=1 - (null),WikipediaApp/4.1.4.130 (iPhone OS 8.3_ Phone) en-us https=1 (null),WikipediaApp/4.1.4.130 (iPhone OS 8.3_ Phone) en_q=1 - (null),Windows,Windows 32,Windows 98,Windows 9x,Windows CE,Windows NT,Windows NT 10.0,Windows NT 4.0,Windows NT 5.0,Windows NT 5.1,Windows NT 5.2,Windows NT 6.0,Windows NT 6.1,Windows NT 6.2,Windows NT 6.3,Windows XP,iOS OS X,iPad,iPad OS 1.X,iPhone,iPhone OS 1.X,iPhone OS 2.0,iPhone OS 2.1,iPhone OS 2.2,iPhone OS 3.0,iPhone OS 3.1,iPhone OS 4.0,iPhone OS 4.1,iPhone OS 4.2,iPhone OS 4.3,iPhone OS 5.0,iPhone OS 5.1,iPhone OS 6.0,iPhone OS 6.1,iPhone OS 7.0,iPhone OS 7.1,iPhone OS 8.0,iPhone OS 8.1,iPhone OS 8.2,iPhone OS 8.3,webOS 1.3,webOS 1.4
Jul  2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun  2015,0.39,,,,,,0.04,,0.22,0.08,,,,0.03,,0.01,0,0.49,16.36,15.01,,,,,,,0.06,0.68,,,0.54,1.81,2.28,0.8,6.01,2.42,0.31,0,0,,0,,,,0,0.02,,,,,0,0,0,,0,0,0,0,0.84,0,0,0,,,,,0,0.48,,,,,,,,,,0,,0.18,0.16,,,,,,,,,0,0.02,0.54,0.3,,,,,,,5.4,5.38,,2.89,0.02,0.08,0.48,,,0.36,0.36,1.16,0.02,,,,,1.47,0.06,0,3.27,0.03,0.06,,0,0.01,,,,0.02,,,,,,,,,,,0.02,0.02,41.66,,0.05,,0.3,,0.1,,0.02,3.88,0.07,1.15,25.42,1.35,8.44,,0.33,7.28,2.33,23.16,7.3,,,,,,,,,,,,,,0.05,0.06,,0.05,0.02,0.29,,
May  2015,0.21,,,,,,0.02,,0.11,0.03,,,,0.03,,0,0,0.41,16.28,14.94,,,,,,,0.06,0.7,,,0.56,1.91,2.34,0.85,6.21,1.95,0.28,0,0,,0,,,,0,0.02,,,,,0,0,0,,0,0,0,0,0.82,0,0,0,,,,,0,0.49,,,,,,,,,,0,,0.17,0.17,,,,,,,,,0,,0.53,0.3,,,,,,,5.73,5.71,,2.97,0.02,0.09,0.5,,,0.39,0.4,1.32,0.02,,,,,1.41,0.1,0,3.02,0.03,0.04,,0,0.01,,,,0.02,,,,,,,,,0.02,0.02,,,42.34,,0.04,,0.32,,0.08,,0.04,4.05,0.06,1.21,25.63,1.42,8.64,,0.27,7.62,2.46,22.49,7.11,,,,,,,,,,,,,,0.05,0.06,,0.05,0.02,0.23,,
Apr  2015,0.23,,,,,,0.03,,0.13,0.03,,,,0.03,,0.01,0,0.36,15.74,14.33,,,,,,,0.06,0.64,,,0.57,1.97,2.33,0.88,6.41,1.19,0.2,0,0,,0,,,,0,0.02,,,,,0,0,0,,0,0,0,0,0.89,0,0,0,,,,,0,0.49,,,,,,,,,,0,,0.19,0.16,,,,,,,,,0,,0.56,0.3,,,,,,,5.68,5.66,,2.82,,0.09,0.5,,,0.39,0.41,1.4,0.02,,,,,1.6,0.22,0,4.34,0.03,0.05,,0,0.02,,,,0.02,,,,,,,,,0.02,,,,41.44,,0.05,,0.04,,0.06,,0.04,4.33,0.08,1.17,25.29,1.44,8.07,,0.32,7.69,2.42,22.25,6.84,,,,,,,,,,,,,0.02,0.05,0.08,,0.09,0.11,0.14,,
Mar  2015,0.24,,,,,,0.03,,0.14,0.03,,,,0.03,,0.01,0,0.35,15.66,14.29,,,,,,,0.06,0.68,,,0.62,2.06,2.37,0.91,6.62,0.84,0.03,0,0,,0,,,,0,0.02,,,,,0,0,0,,0,0,0,0,0.84,0,0,0,,,,,0,0.5,,,,,,,,,,0,,0.19,0.17,,,,,,,,,0,,0.54,0.3,,,,,,,5.7,5.68,,2.64,0.02,0.1,0.54,,,0.42,0.45,1.5,0.02,,,,,1.55,0.26,0,3.91,0.03,0.05,,0,0.02,,,,0.02,,,,,,0.02,,0.02,,,,,42.26,,0.05,,0.03,,0.06,,0.04,4.53,0.08,1.25,25.94,1.51,7.91,,0.34,7.85,2.47,21.72,6.67,,,,,,,,,,,,,0.02,0.05,0.09,,0.2,0.11,,,
Feb  2015,0.24,,,,,,0.03,,0.14,0.03,,,,0.03,,0.01,0,0.33,15.51,14.22,,,,,,,0.07,0.72,,,0.67,2.17,2.43,0.95,6.56,0.57,,0,0,,0,,,,0,0.01,,,,,0,0,0,,0,0,0,0,0.79,0,0,0,,,,,0,0.48,,,,,,,,,,0,,0.18,0.16,,,,,,,,,0,,0.51,0.29,,,,,,,5.58,5.56,,2.39,0.02,0.1,0.57,,,0.43,0.46,1.56,0.02,,,,,1.43,0.25,0,3.6,0.03,0.04,,0,0.02,,,,0.02,,,,,,0.03,0.02,,,,,,41.93,,0.05,,0.03,,0.05,,0.04,4.67,0.11,1.29,25.81,1.55,7.5,,0.29,8.31,2.62,22.39,6.89,,,,,,,,,,,,,0.02,0.05,0.1,0.02,0.29,,,,
Jan  2015,0.24,,,,,,0.03,,0.14,0.04,,,,0.02,,0.01,0,0.31,15.53,14.33,,,,,,,0.07,0.77,,,0.73,2.29,2.44,1.01,6.61,0.32,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.73,0,0,0,,,,,0,0.46,,,,,,,,,,0,,0.17,0.16,,,,,,,,,0,,0.47,0.28,,,,,,,5.27,5.25,,2.08,0.02,0.1,0.57,,,0.43,0.46,1.56,0.02,,,,,1.29,0.23,0,3.19,0.03,0.05,,0,0.02,,,,0.02,,,,,0.03,,,,,,,,40.36,,0.04,,0.03,,,,0.03,4.58,0.12,1.29,24.89,1.55,6.98,,0.27,8.99,2.79,24.18,7.36,,,,,,,,,,,,,0.02,0.05,0.12,0.02,0.28,,,,
Dec  2014,0.26,,,,,,0.03,,0.15,0.04,,,,0.02,,0.01,0,0.34,15.28,14.06,,,,,,,0.08,0.86,,,0.8,2.43,2.37,1.04,6.1,0.28,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.75,0,0,0,,,,,0,0.46,,,,,,,,,,0,,0.17,0.17,,,,,,,,,0,,0.47,0.27,,,,,,,5.3,5.28,,1.86,0.02,0.11,0.6,,,0.46,0.47,1.74,0.02,,,,,1.31,0.24,0,3.14,0.03,0.05,,0,0.02,,,,0.02,,,,0.02,,,,,,,,,40.18,,0.04,,0.03,,,,0.04,4.67,0.11,1.32,24.92,1.72,6.5,,0.25,8.84,2.88,24.72,7.97,,,,,,,,,,,,,0.03,0.05,0.15,0.03,0.26,,,,
Nov  2014,0.27,,,,,,0.03,,0.16,0.04,,,,0.02,,0.01,0,0.33,14.93,13.64,,,,,,,0.08,0.96,,0.02,0.87,2.6,2.49,1.07,5.39,0.08,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.76,0,0,0,,,,,0,0.5,,,,,,,,,,0,,0.21,0.19,,,,,,,,,0,,0.46,0.28,,,,,,,5.55,5.52,,1.58,0.02,0.12,0.67,,,0.51,0.53,2.06,0.03,,,,,1.19,0.22,0,2.91,0.03,0.05,,0,0.02,,,,0.02,,,,,,,,,,,,,42.86,,0.04,,0.03,,,,0.04,5.22,0.08,1.44,26.75,2.17,6.28,,0.22,8.75,2.97,22.64,7.64,,,,,,,,,,,,,0.03,0.05,0.16,0.05,0.19,,,,
Oct  2014,0.29,,,,,,0.03,,0.17,0.05,,,,0.02,,0.01,0,0.32,14.58,13.33,,,,,,0.02,0.09,1.04,,0.02,0.92,2.69,2.52,1.12,4.86,,,0,0,,0,,,,0,0.01,,,,,0,0,0,,0,0,0,0,0.73,0,0,0.01,,,,,0,0.49,,,,,,,,,,0,,0.2,0.18,,,,,,,,,0,,0.44,0.27,,,,,,,5.67,5.65,,0.55,0.02,0.12,0.73,,,0.55,0.59,3.06,0.03,,,,,1.14,0.21,0,2.78,0.03,0.05,,0,0.02,,,,0.02,,,0.02,,,,,,,,,,43.14,,0.03,,0.02,,,,0.04,5.42,0.08,1.47,27.15,2.68,5.41,,0.22,8.76,2.99,22.68,7.72,,,,,,,,,,,,,0.03,0.05,0.21,0.16,0.04,,,,
Sep  2014,0.29,,,,,,0.03,,0.17,0.05,,,,0.02,,0.01,0.01,0.34,13.78,12.62,,,,,,0.02,0.09,1.09,,0.02,0.95,2.7,2.4,1.11,4.17,,,0,0,,0,,,,0,0.01,,,,,0,0,0,,0,0,0,0,0.68,0,0,0,,,,,0,0.45,,,,,,,,,,0,,0.17,0.18,,,,,,,,,0,,0.41,0.26,,,,,,,5.45,5.43,,0.07,0.02,0.13,0.73,,,0.55,0.6,3.29,0.03,,,,,1.09,0.21,0,2.6,0.03,0.04,,0,0.02,,,,0.02,,0.03,,,,,,,,,,,41.74,,0.03,,0.02,,,,0.06,5.41,0.09,1.5,26.3,2.82,4.72,,0.19,9.59,3.25,24.53,8.28,,,,,,,,,,,,,0.03,0.06,0.37,0.06,,,,,
Aug  2014,0.32,,,,,,0.03,,0.19,0.05,,,,0.02,,0.01,0.01,0.34,13.71,12.55,,,,,,0.02,0.1,1.17,,0.02,1.03,2.81,2.38,1.16,3.79,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.71,0,0,0,,,,,0,0.43,,,,,,,,,,0,,0.15,0.17,,,,,,,,,0,,0.41,0.24,,,,,,,4.85,4.83,,0.06,0.02,0.13,0.69,,,0.52,0.57,2.81,0.03,,,,,1.12,0.23,0,2.56,0.03,0.05,,0,0.02,,,,0.02,0.06,,,,,,,,,,,,39.29,,0.03,,0.03,,,,0.05,5.23,0.09,1.53,24.75,2.73,4.09,,0.19,10.13,3.32,27.04,8.8,,,,,,,,,,,,,0.04,0.08,0.49,,,,,,
Jul  2014,0.34,,,,,,0.04,,0.2,0.06,,,,0.02,,0.01,0.01,0.36,13.47,12.25,,,,,,0.02,0.11,1.25,,0.02,1.05,2.89,2.26,1.3,3.3,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.79,0,0,0,,,,,0,0.42,,,,,,,,,,0,,0.16,0.17,,,,,,,,,0,,0.42,0.23,,,,,,,4.9,4.87,,0.02,0.02,0.13,0.73,,,0.55,0.61,2.77,0.03,,,,,1.08,0.23,0,2.31,0.03,0.06,,0,0.03,,,,0.02,,,,,,,,,,,,,38.72,,0.03,,0.05,,,,0.04,5.31,0.09,1.54,24.5,2.73,3.65,,0.11,10.17,3.31,28.1,9.07,,,,,,,,,,,,,0.05,0.09,0.51,,,,,,
Jun  2014,0.36,,,,,,0.04,,0.22,0.06,,,0.02,0.02,,0.01,0.01,0.36,13.1,11.88,,,,,,0.02,0.12,1.36,,0.02,1.13,2.97,2.2,1.49,2.52,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.77,0,0,0,,,,,0,0.43,,,,,,,,,,0,,0.17,0.18,,,,,,,,,0,,0.4,0.23,,,,,,,4.91,4.88,,,0.02,0.14,0.77,,,0.59,0.67,2.65,0.03,,,,,0.89,0.23,0,2.2,0.03,0.07,,0,0.03,,,,0.02,,,,,,,,,,,,,40.03,,0.03,,0.05,,,,0.05,5.69,0.09,1.64,25.27,3.01,3.43,,0.11,10.27,3.4,27.35,8.97,,,,,,,,,,,,,0.06,0.11,0.49,,,,,,
May  2014,0.37,,,,,,0.04,,0.23,0.06,,,0.02,,,0.01,0.01,0.35,12.24,10.98,,,,,,0.02,0.12,1.37,,0.02,1.15,2.93,2,1.56,1.75,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.78,0,0,0.01,,,,,0,0.46,,,,,,,,,,0,,0.18,0.2,,,,,,,,,0,,0.4,0.24,,,,,,,5.43,5.39,,,0.02,0.16,0.88,,,0.7,0.83,2.76,0.03,,0.02,,,0.78,0.22,0,2.29,0.03,0.08,,0,0.03,,,,0.02,,,,,,,,,,,,,43.28,,0.03,,0.05,,,,0.05,6.45,0.1,1.82,27.32,3.39,3.36,,0.11,10.23,3.59,24.5,8.54,,,,,,,,,,,,,0.06,0.12,0.4,,,,,,
Apr  2014,0.38,,,,,,0.04,,0.23,0.07,,,0.02,,,0.01,0.01,0.35,12.35,11.02,,,,,,0.02,0.13,1.44,,0.02,1.23,3.1,1.91,1.84,1.27,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.83,0,0,0,,,,,0,0.48,,,,,,,,,,0,,0.19,0.21,,,,,,,,,0,,0.44,0.25,,,,,,,5.65,5.62,,,0.03,0.17,0.97,,,0.77,0.94,2.71,0.04,,0.02,,,0.75,0.23,0,2.57,0.03,0.08,,0,0.03,,,0.02,0.02,,,,,,,,,,,,,43.44,,0.04,,0.04,,,,0.05,6.81,0.1,1.88,27.33,3.43,3.04,,0.12,10.06,3.54,23.86,8.32,,,,,,,,,,,0.02,,0.07,0.17,0.42,,,,,,
Mar  2014,0.39,,,,,,0.04,,0.23,0.07,,,0.03,,,0,0.01,0.37,12.62,11.25,,,,,,0.03,0.14,1.48,,0.03,1.32,3.26,1.87,2.17,0.9,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.85,0,0,0,,,,,0,0.51,,,,,,,,,,0,,0.21,0.22,,,,,,,,,0,,0.45,0.26,,,,,,,5.78,5.74,,,0.03,0.19,1.04,,,0.84,1.01,2.59,0.04,,0.02,,,0.72,0.23,0,2.62,0.03,0.09,,0,0.03,,,0.02,0.02,,,,,,,,,,,,,44.39,,0.04,,0.04,,,,0.06,7.42,0.1,2.03,27.73,3.56,2.73,,0.12,10.1,3.58,22.42,7.84,,,,,,,,,,,0.02,0.02,0.09,0.41,0.22,,,,,,
Feb  2014,0.39,,,,,,0.05,,0.23,0.07,,,0.03,,,0,0.01,0.42,12.38,11.03,,,,,,0.03,0.15,1.55,,0.03,1.39,3.36,1.77,2.15,0.55,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.84,0,0,0,,,,,0,0.49,,,,,,,,,,0,,0.2,0.22,,,,,,,,,0,,0.44,0.25,,,,,,,5.85,5.8,,,0.03,0.21,1.11,,,0.91,1.13,2.37,0.04,,0.02,0.02,,0.75,0.23,0,2.4,0.03,0.09,,0,0.04,,,0.02,0.02,,,,,,,,,,,,,44.55,,0.04,,0.04,,,,0.06,7.88,0.11,2.14,27.67,3.55,2.38,,0.12,10.34,3.66,22.34,7.79,,,,,,,,,,,0.02,0.02,0.1,0.6,,,,,,,
Jan  2014,0.41,,,,,,0.05,,0.24,0.08,,,0.03,,,0,0.02,0.44,12.21,10.94,,,,,,0.03,0.17,1.7,,0.03,1.47,3.6,1.72,1.75,0.41,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.8,0,0,0,,,,,0,0.45,,,,,,,,,,0,,0.18,0.2,,,,,,,,,0,,0.4,0.23,,,,,,,5.68,5.64,,,0.03,0.22,1.14,,,0.94,1.23,2.04,0.04,,0.02,0.02,,0.79,0.23,0,2.26,0.03,0.09,,0,0.05,,0.02,0.02,0.02,,,,,,,,,,,,,43.88,,0.04,,0.04,,,,0.06,7.97,0.12,2.25,27.18,3.53,2.02,,0.11,10.48,3.68,23.24,8.09,,,,,,,,,,,0.02,0.02,0.1,0.47,,,,,,,
Dec  2013,0.43,,,,,,0.05,,0.25,0.08,,,0.03,,,0,0.03,0.46,11.18,9.92,,,,,,0.03,0.17,1.73,,0.03,1.46,3.76,1.46,0.92,0.3,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.79,0,0,0,,,,,0,0.45,,,,,,,,,,0,,0.19,0.2,,,,,,,,,0,,0.4,0.22,,,,,,,6.03,5.99,,,0.03,0.24,1.26,,,1.08,1.52,1.82,0.04,,0.02,0.02,,0.79,0.23,0,2.7,0.03,0.1,,0,0.05,,0.02,0.02,0.02,,,,,,,,,,,,,46.29,,0.04,,0.05,,,,0.06,8.58,0.12,2.44,28.89,3.84,1.67,,0.11,9.75,3.53,21.74,7.8,,,,,,,,,,,0.03,0.02,0.12,0.45,,,,,,,
Nov  2013,0.43,,,,,,0.06,,0.23,0.09,,,0.03,,,0,0.02,0.44,9.76,8.49,,,,,,0.03,0.17,1.67,,0.03,1.39,3.43,1.18,0.47,0.06,,,0,0,,0,,,,0,0,,,,,0,0,0,,0,0,0,0,0.78,0,0,0,,,,,0,0.47,,,,,,,,,,0,,0.21,0.22,,,,,,,,,0,,0.41,0.22,,,,,,,6.43,6.38,,,0.04,0.26,1.4,,,1.23,1.74,1.68,0.05,,0.03,0.02,,0.69,0.22,0,2.97,0.03,0.1,,0,0.05,,0.02,0.02,,,,,,,,,,,,,,51.92,,0.03,,0.03,,,,0.06,10.13,0.14,2.73,32.54,4.48,1.2,,0.09,8.72,3.36,18.07,6.9,,,,,,,,,,,0.03,0.03,0.15,0.48,,,,,,,
