date,,C 3,C 4,C 5,C 6,C 7,C 8,C 9,C 10,C 11,C 12,C 13,C 14,C,FF 2,FF 3,FF 4,FF 5,FF 6,FF,Mozilla Unknown,IE,IE 6,IE 7,IE 8,IE 9,O,S,Yandex
Jan  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec  2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan  2010,98.86,2.75,0.62,,,,,,,,,,,,0.79,26.01,,,,,,,10.33,14.37,13.33,,29.26,1.4,
Feb  2010,98.38,,3.24,,,,,,,,,,,,0.74,26.36,,,,,,,10.26,13.52,13.51,,29.3,1.45,
Mar  2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr  2010,98.64,,3.94,,,,,,,,,,,,0.62,28.02,,,,,0.56,,9.67,11.4,14.39,,28.65,1.39,
May  2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun  2010,99.07,,0.63,4.4,,,,,,,,,,,0.56,28.53,,,,,0.53,,8.85,10.1,14.74,,29.23,1.5,
Jul  2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug  2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep  2010,98.23,,,2.09,3.98,,,,,,,,,,,28.61,,,,,0.59,,7.26,8.85,15.73,,29.44,1.68,
Oct  2010,97.93,,,,4.68,1.72,,,,,,,,,,28.33,,,,,0.62,,6.79,8.39,15.7,,29.97,1.73,
Nov  2010,97.63,,,,,6.55,,,,,,,,,,28.4,,,,,0.65,,6.2,8,15.64,,29.95,2.24,
Dec  2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan  2011,97.45,,,,,,8.17,,,,,,,,,29.07,,,,,0.55,,4.22,6.8,15.75,,30.33,2.56,
Feb  2011,97.6,,,,,,2.34,6.83,,,,,,,,28.78,,,,,0.52,,4.14,6.55,16.19,,29.82,2.43,
Mar  2011,97.56,,,,,,0.53,3.29,6.73,,,,,,,26.71,1.82,,,,,,3.87,6.1,15.89,,29.98,2.64,
Apr  2011,97.57,,,,,,,,10.53,,,,,,,20.71,7.47,,,,0.55,,3.59,5.7,15.08,1.32,29.95,2.67,
May  2011,98.14,,,,,,,0.69,1.44,10.39,,,,,,14.75,12.89,,,,1.76,,3.3,5.34,13.88,2.3,28.89,2.51,
Jun  2011,97.06,,,,,,,,,4.53,7.85,,,,,12.11,13.4,2.08,,,1.8,,3.33,5,13.4,2.86,28.2,2.5,
Jul  2011,97.71,,,,,,,,,1.13,12.59,,,,,10.74,3.67,12.43,,,1.87,,3.2,4.97,13.43,3.36,27.53,2.79,
Aug  2011,94.71,,,,,,,,,,3.11,10.51,,,,9.76,,9.58,4.81,,2.91,,2.84,4.67,12.84,3.49,27.31,2.88,
Sep  2011,94.46,,,,,,,,,,,8.41,5.45,,,8.58,,1.84,12.66,,4.49,,2.49,4.81,11.93,3.47,27.4,2.93,
Oct  2011,100,,,,,,,,,,,,,19.39,,,,,,24.52,3.89,22.21,,,,,26.91,3.08,
Nov  2011,100.02,,,,,,,,,,,,,20.3,,,,,,24.96,2.98,21.33,,,,,27.19,3.26,
Dec  2011,99.98,,,,,,,,,,,,,21.92,,,,,,25.42,,21.2,,,,,27.85,3.59,
Jan  2012,100,,,,,,,,,,,,,23.79,,,,,,24.47,,20.3,,,,,27.69,3.75,
Feb  2012,100.01,,,,,,,,,,,,,25.28,,,,,,24.01,,19.78,,,,,27.04,3.9,
Mar  2012,100,,,,,,,,,,,,,26.16,,,,,,23.3,,19.65,,,,,26.76,4.13,
Apr  2012,100,,,,,,,,,,,,,26.9,,,,,,23.37,,18.98,,,,,26.38,4.37,
May  2012,99.98,,,,,,,,,,,,,27.52,,,,,,22.93,,18.81,,,,,25.96,4.76,
Jun  2012,99.99,,,,,,,,,,,,,28.35,,,,,,22.94,,18.21,,,,,25.64,4.85,
Jul  2012,100.03,,,,,,,,,,,,,28.64,,,,,,22.8,,18.63,,,,,24.79,5.17,
Aug  2012,100,,,,,,,,,,,,,29.21,,,,,,22.52,,18.33,,,,,24.34,5.6,
Sep  2012,99.97,,,,,,,,,,,,,30.47,,,,,,22.13,,16.89,,,,,24.44,6.04,
Oct  2012,99.96,,,,,,,,,,,,,31.63,,,,,,21.7,,16.55,,,,,24.02,6.06,
Nov  2012,99.9,,,,,,,,,,,,,32.59,,,,,,21.4,,15.72,,,,,23.84,6.35,
Dec  2012,100.03,,,,,,,,,,,,,32.43,,,,,,20.9,,14.85,,,,,23.56,6.71,1.58
Jan  2013,99.98,,,,,,,,,,,,,32.15,,,,,,20.4,,14.39,,,,,23.2,7.38,2.46
Feb  2013,100,,,,,,,,,,,,,32.07,,,,,,20.24,,14.69,,,,,22.69,7.46,2.85
Mar  2013,99.98,,,,,,,,,,,,,32.77,,,,,,19.79,,14.06,,,,,22.38,7.91,3.07
Apr  2013,100.02,,,,,,,,,,,,,33.38,,,,,,19.41,,14.23,,,,,21.35,8.27,3.38
May  2013,100,,,,,,,,,,,,,33.8,,,,,,18.8,,13.68,,,,,21.02,8.98,3.72
Jun  2013,99.98,,,,,,,,,,,,,33.93,,,,,,18.63,,13.69,,,,,20.46,9.35,3.92
Jul  2013,99.99,,,,,,,,,,,,,33.84,,,,,,18.6,,13.86,,,,,19.88,9.76,4.05
Aug  2013,99.97,,,,,,,,,,,,,34.44,,,,,,18.06,,13.65,,,,,19.01,10.44,4.37
Sep  2013,99.99,,,,,,,,,,,,,35.6,,,,,,17.56,,13.16,,,,,18.05,10.67,4.95
Oct  2013,100,,,,,,,,,,,,,36.79,,,,,,17.14,,12.95,,,,,17.07,10.65,5.4
Nov  2013,100,,,,,,,,,,,,,38.06,,,,,,16.65,,12.56,,,,,16.1,10.91,5.72
Dec  2013,100,,,,,,,,,,,,,38.78,,,,,,16.36,,12.2,,,,,15.25,11.31,6.1
Jan  2014,100.02,,,,,,,,,,,,,39.27,,,,,,15.98,,11.58,,,,,14.46,12.09,6.64
Feb  2014,99.98,,,,,,,,,,,,,39.47,,,,,,16.05,,12.06,,,,,13.76,11.81,6.83
Mar  2014,100.04,,,,,,,,,,,,,40.23,,,,,,15.92,,11.99,,,,,13.17,11.84,6.89
Apr  2014,100.03,,,,,,,,,,,,,40.95,,,,,,15.94,,11.93,,,,,12.4,12.07,6.74
May  2014,100.01,,,,,,,,,,,,,41.67,,,,,,15.63,,11.56,,,,,12,12.54,6.61
Jun  2014,100.03,,,,,,,,,,,,,41.82,,,,,,15.43,,11.34,,,,,11.49,13.41,6.54
Jul  2014,100.01,,,,,,,,,,,,,42.39,,,,,,15.09,,11.16,,,,,11.07,13.71,6.59
Aug  2014,100.05,,,,,,,,,,,,,42.81,,,,,,14.6,,10.98,,,,,10.6,14.15,6.91
Sep  2014,100,,,,,,,,,,,,,43.25,,,,,,14.36,,10.89,,,,,9.96,14.19,7.35
Oct  2014,99.97,,,,,,,,,,,,,44.09,,,,,,14.1,,10.62,,,,,9.51,14.09,7.56
Nov  2014,100.01,,,,,,,,,,,,,44.79,,,,,,13.54,,9.67,,,,,8.93,15.27,7.81
Dec  2014,99.97,,,,,,,,,,,,,44.7,,,,,,13.06,,9.31,,,,,8.32,16.87,7.71
Jan  2015,100.01,,,,,,,,,,,,,44.97,,,,,,12.51,,8.85,,,,,7.9,17.98,7.8
Feb  2015,100.01,,,,,,,,,,,,,44.87,,,,,,12.59,,9.97,,,,,7.47,17.35,7.76
Mar  2015,100,,,,,,,,,,,,,45.31,,,,,,12.54,,9.41,,,,,7.16,17.52,8.06
Apr  2015,99.99,,,,,,,,,,,,,46.21,,,,,,12.82,,8.93,,,,,6.74,16.82,8.47
May  2015,100,,,,,,,,,,,,,46.18,,,,,,12.52,,8.71,,,,,6.54,17.54,8.51
Jun  2015,99.99,,,,,,,,,,,,,46.04,,,,,,12.12,,8.98,,,,,6.35,18.02,8.48